"category","tree","filename","source_url","bytes"
"Assist Skills","Battle","title.png","https://coryn.club/images/icon/s-battle.png","7415"
"Assist Skills","Dancer","title.png","https://coryn.club/images/icon/s-dancer.png","7477"
"Assist Skills","Golem","title.png","https://coryn.club/images/icon/s-golem.png","7645"
"Assist Skills","Minstrel","title.png","https://coryn.club/images/icon/s-minstrel.png","7468"
"Assist Skills","Support","title.png","https://coryn.club/images/icon/s-support.png","6077"
"Assist Skills","Survival","title.png","https://coryn.club/images/icon/s-survival.png","6473"
"Buff Skills","Assassin","title.png","https://coryn.club/images/icon/s-assassin.png","7198"
"Buff Skills","Barehand","title.png","https://coryn.club/images/icon/s-barehand.png","7320"
"Buff Skills","Dagger","title.png","https://coryn.club/images/icon/s-dagger.png","7331"
"Buff Skills","DarkPower","title.png","https://coryn.club/images/icon/s-dark.png","7003"
"Buff Skills","Guard","title.png","https://coryn.club/images/icon/s-guard.png","7226"
"Buff Skills","Hunter","title.png","https://coryn.club/images/icon/s-hunter.png","6511"
"Buff Skills","Knight","title.png","https://coryn.club/images/icon/s-knight.png","6769"
"Buff Skills","MagicBlade","title.png","https://coryn.club/images/icon/s-magicblade.png","7487"
"Buff Skills","Necromancer","title.png","https://coryn.club/images/icon/s-necromancer.png","7182"
"Buff Skills","Ninja","title.png","https://coryn.club/images/icon/s-ninja.png","6841"
"Buff Skills","Partisan","title.png","https://coryn.club/images/icon/s-partisan.png","7819"
"Buff Skills","Priest","title.png","https://coryn.club/images/icon/s-priest.png","7040"
"Buff Skills","Shield","title.png","https://coryn.club/images/icon/s-shield.png","7214"
"Buff Skills","Wizard","title.png","https://coryn.club/images/icon/s-wizard.png","7343"
"Other Skills","Alchemy","title.png","https://coryn.club/images/icon/s-alche.png","7056"
"Other Skills","Scroll","title.png","https://coryn.club/images/icon/s-ninja.png","6841"
"Other Skills","Smith","title.png","https://coryn.club/images/icon/s-smith.png","7322"
"Other Skills","Tamer","title.png","https://coryn.club/images/icon/s-tamer.png","6588"
"Weapon Skills","Blade","title.png","https://coryn.club/images/icon/s-blade.png","7009"
"Weapon Skills","Crusher","title.png","https://coryn.club/images/icon/s-crusher.png","7329"
"Weapon Skills","DualSword","title.png","https://coryn.club/images/icon/s-dw.png","7319"
"Weapon Skills","Halberd","title.png","https://coryn.club/images/icon/s-halb.png","7166"
"Weapon Skills","Magic","title.png","https://coryn.club/images/icon/s-magic.png","7072"
"Weapon Skills","Martial","title.png","https://coryn.club/images/icon/s-martial.png","7323"
"Weapon Skills","Mononofu","title.png","https://coryn.club/images/icon/s-katana.png","7272"
"Weapon Skills","Shot","title.png","https://coryn.club/images/icon/s-shot.png","7235"
"Weapon Skills","Sprite","title.png","https://coryn.club/images/icon/s-sprite.png","7195"
